FeatureSize,Model,mean,std
2,GradientBoosting,0.9754585537918871,0.02843997132154965
2,KNN,0.9630070546737213,0.026846834928152437
2,LogisticRegression,0.9834215167548501,0.013006243167682955
2,RandomForest,0.9825837742504409,0.016363450472848873
2,SVM,0.9774779541446208,0.02115638167573415
5,GradientBoosting,0.9687918871252205,0.037495664191439265
5,KNN,0.9891710758377426,0.015309301192018407
5,LogisticRegression,0.9949911816578484,0.005030555453572657
5,RandomForest,0.9944797178130511,0.00604830464082806
5,SVM,0.9948412698412699,0.005870036348812357
8,GradientBoosting,0.9630687830687831,0.03711611833294834
8,KNN,0.9904056437389771,0.015339645332985895
8,LogisticRegression,0.9950088183421516,0.004710158534296021
8,RandomForest,0.996058201058201,0.0050126843625159815
8,SVM,0.995925925925926,0.00425925824495707
10,GradientBoosting,0.9627248677248678,0.0349440056939487
10,KNN,0.9918342151675484,0.011979248902333074
10,LogisticRegression,0.9950617283950618,0.005149565269818146
10,RandomForest,0.9956437389770723,0.004839460518869407
10,SVM,0.9965255731922399,0.00367098347696522
12,GradientBoosting,0.9609788359788359,0.03367370512807466
12,KNN,0.9921604938271605,0.012012823174257338
12,LogisticRegression,0.9955555555555555,0.005546024928395432
12,RandomForest,0.9972751322751323,0.003919898893804533
12,SVM,0.9972486772486772,0.003154149195845053
15,GradientBoosting,0.9578924162257496,0.03532841246169076
15,KNN,0.9952910052910053,0.008114365666588047
15,LogisticRegression,0.9974603174603175,0.003403302654845994
15,RandomForest,0.9984920634920635,0.002836902464413816
15,SVM,0.9984656084656085,0.002360293219148341
