FeatureSize,Run,Model,Accuracy,Precision,Recall,F1,AUC,NumSelectedFeatures
2,8,GradientBoosting,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9814814814814815,2
2,9,LogisticRegression,0.9166666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9788359788359788,2
2,9,RandomForest,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9964726631393299,2
2,9,SVM,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9929453262786596,2
2,9,KNN,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9700176366843033,2
2,9,GradientBoosting,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9788359788359788,2
2,10,LogisticRegression,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9894179894179893,2
2,10,RandomForest,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9691358024691359,2
2,10,SVM,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9753086419753088,2
2,10,KNN,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9417989417989417,2
2,10,GradientBoosting,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9867724867724869,2
2,11,LogisticRegression,0.8958333333333334,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.962962962962963,2
2,11,RandomForest,0.9166666666666666,0.9473684210526315,0.8571428571428571,0.9,0.9603174603174603,2
2,11,SVM,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9523809523809524,2
2,11,KNN,0.9166666666666666,1.0,0.8095238095238095,0.8947368421052632,0.9223985890652557,2
2,11,GradientBoosting,0.9166666666666666,0.9473684210526315,0.8571428571428571,0.9,0.9100529100529102,2
2,12,LogisticRegression,0.9166666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9753086419753086,2
2,12,RandomForest,0.9375,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9929453262786596,2
2,12,SVM,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9823633156966489,2
2,12,KNN,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9691358024691358,2
2,12,GradientBoosting,0.9375,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9858906525573192,2
2,13,LogisticRegression,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9841269841269841,2
2,13,RandomForest,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9929453262786596,2
2,13,SVM,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9594356261022928,2
2,13,KNN,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9488536155202821,2
2,13,GradientBoosting,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9947089947089947,2
2,14,LogisticRegression,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9858906525573192,2
2,14,RandomForest,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9964726631393299,2
2,14,SVM,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9929453262786596,2
2,14,KNN,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9735449735449735,2
2,14,GradientBoosting,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9929453262786596,2
2,15,LogisticRegression,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.982363315696649,2
2,15,RandomForest,0.9166666666666666,0.9473684210526315,0.8571428571428571,0.9,0.9735449735449735,2
2,15,SVM,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9753086419753086,2
2,15,KNN,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9708994708994709,2
2,15,GradientBoosting,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9761904761904762,2
2,16,LogisticRegression,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9964726631393299,2
2,16,RandomForest,0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,0.998236331569665,2
2,16,SVM,0.9583333333333334,1.0,0.9047619047619048,0.95,0.998236331569665,2
2,16,KNN,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9938271604938271,2
2,16,GradientBoosting,0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,17,LogisticRegression,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9858906525573192,2
2,17,RandomForest,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9850088183421517,2
2,17,SVM,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9611992945326279,2
2,17,KNN,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9964726631393298,2
2,17,GradientBoosting,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,2
2,18,LogisticRegression,0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,18,RandomForest,0.9583333333333334,0.9130434782608695,1.0,0.9545454545454546,1.0,2
2,18,SVM,0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,18,KNN,0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,18,GradientBoosting,0.9583333333333334,0.9130434782608695,1.0,0.9545454545454546,1.0,2
2,19,LogisticRegression,0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,19,RandomForest,0.9583333333333334,0.9130434782608695,1.0,0.9545454545454546,1.0,2
2,19,SVM,0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,19,KNN,0.9791666666666666,0.9545454545454546,1.0,0.9767441860465116,1.0,2
2,19,GradientBoosting,0.9583333333333334,0.9130434782608695,1.0,0.9545454545454546,1.0,2
2,20,LogisticRegression,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9559082892416226,2
2,20,RandomForest,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9576719576719577,2
2,20,SVM,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9664902998236331,2
2,20,KNN,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9417989417989417,2
2,20,GradientBoosting,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9647266313932981,2
2,21,LogisticRegression,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9964726631393298,2
2,21,RandomForest,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9797178130511464,2
2,21,SVM,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9876543209876543,2
2,21,KNN,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9700176366843033,2
2,21,GradientBoosting,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9876543209876543,2
2,22,LogisticRegression,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9876543209876544,2
2,22,RandomForest,1.0,1.0,1.0,1.0,1.0,2
2,22,SVM,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9911816578483246,2
2,22,KNN,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.998236331569665,2
2,22,GradientBoosting,1.0,1.0,1.0,1.0,1.0,2
2,23,LogisticRegression,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,1.0,2
2,23,RandomForest,1.0,1.0,1.0,1.0,1.0,2
2,23,SVM,1.0,1.0,1.0,1.0,1.0,2
2,23,KNN,0.9583333333333334,1.0,0.9047619047619048,0.95,1.0,2
2,23,GradientBoosting,1.0,1.0,1.0,1.0,1.0,2
2,24,LogisticRegression,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9911816578483245,2
2,24,RandomForest,0.875,0.8,0.9523809523809523,0.8695652173913043,0.9708994708994709,2
2,24,SVM,0.9375,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9894179894179895,2
2,24,KNN,0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9691358024691358,2
2,24,GradientBoosting,0.8333333333333334,0.76,0.9047619047619048,0.8260869565217391,0.972663139329806,2
2,25,LogisticRegression,0.9166666666666666,1.0,0.8095238095238095,0.8947368421052632,0.9664902998236331,2
2,25,RandomForest,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9876543209876544,2
2,25,SVM,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9841269841269842,2
2,25,KNN,0.9166666666666666,1.0,0.8095238095238095,0.8947368421052632,0.9400352733686066,2
2,25,GradientBoosting,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9576719576719577,2
2,26,LogisticRegression,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9523809523809524,2
2,26,RandomForest,0.9166666666666666,0.8695652173913043,0.9523809523809523,0.9090909090909091,0.9788359788359787,2
2,26,SVM,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9647266313932981,2
2,26,KNN,0.9166666666666666,0.9473684210526315,0.8571428571428571,0.9,0.9356261022927689,2
2,26,GradientBoosting,0.9166666666666666,0.8695652173913043,0.9523809523809523,0.9090909090909091,0.9753086419753085,2
2,27,LogisticRegression,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9805996472663139,2
2,27,RandomForest,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.9867724867724867,2
2,27,SVM,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9506172839506173,2
2,27,KNN,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9708994708994708,2
2,27,GradientBoosting,0.9791666666666666,1.0,0.9523809523809523,0.975609756097561,0.955026455026455,2
2,28,LogisticRegression,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9559082892416225,2
2,28,RandomForest,0.8958333333333334,0.9,0.8571428571428571,0.8780487804878049,0.9664902998236331,2
2,28,SVM,0.9166666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9682539682539683,2
2,28,KNN,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9356261022927689,2
2,28,GradientBoosting,0.8958333333333334,0.9,0.8571428571428571,0.8780487804878049,0.9700176366843034,2
2,29,LogisticRegression,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9805996472663139,2
2,29,RandomForest,0.9166666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9656084656084656,2
2,29,SVM,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9576719576719577,2
2,29,KNN,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9453262786596119,2
2,29,GradientBoosting,0.9375,0.95,0.9047619047619048,0.926829268292683,0.9453262786596119,2
2,30,LogisticRegression,0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9858906525573192,2
2,30,RandomForest,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9638447971781305,2
2,30,SVM,0.9583333333333334,1.0,0.9047619047619048,0.95,0.9682539682539683,2
2,30,KNN,0.9583333333333334,1.0,0.9047619047619048,0.95,0.947089947089947,2
