FeatureSize,Run,Model,Dataset,Accuracy,Precision,Recall,F1,AUC,NumSelectedFeatures
2,5,KNN,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9435626102292769,2
2,5,KNN,CPTAC,,,,,,2
2,5,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,5,GradientBoosting,Test (TCGA),0.9166666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9805996472663139,2
2,5,GradientBoosting,CPTAC,,,,,,2
2,6,LogisticRegression,Train (TCGA),0.9553571428571429,0.9777777777777777,0.9166666666666666,0.946236559139785,0.9781901041666667,2
2,6,LogisticRegression,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9788359788359788,2
2,6,LogisticRegression,CPTAC,,,,,,2
2,6,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,6,RandomForest,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9312169312169312,2
2,6,RandomForest,CPTAC,,,,,,2
2,6,SVM,Train (TCGA),0.9732142857142857,1.0,0.9375,0.967741935483871,0.96484375,2
2,6,SVM,Test (TCGA),0.9166666666666666,1.0,0.8095238095238095,0.8947368421052632,0.9365079365079365,2
2,6,SVM,CPTAC,,,,,,2
2,6,KNN,Train (TCGA),0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.9915364583333333,2
2,6,KNN,Test (TCGA),0.8958333333333334,1.0,0.7619047619047619,0.8648648648648649,0.9365079365079365,2
2,6,KNN,CPTAC,,,,,,2
2,6,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,6,GradientBoosting,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.9444444444444444,2
2,6,GradientBoosting,CPTAC,,,,,,2
2,7,LogisticRegression,Train (TCGA),0.9642857142857143,0.9782608695652174,0.9375,0.9574468085106383,0.9925130208333334,2
2,7,LogisticRegression,Test (TCGA),0.9166666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9841269841269842,2
2,7,LogisticRegression,CPTAC,,,,,,2
2,7,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,7,RandomForest,Test (TCGA),0.9375,0.95,0.9047619047619048,0.926829268292683,0.9929453262786596,2
2,7,RandomForest,CPTAC,,,,,,2
2,7,SVM,Train (TCGA),0.9910714285714286,1.0,0.9791666666666666,0.9894736842105263,0.990234375,2
2,7,SVM,Test (TCGA),0.9375,0.95,0.9047619047619048,0.926829268292683,0.9841269841269842,2
2,7,SVM,CPTAC,,,,,,2
2,7,KNN,Train (TCGA),0.9821428571428571,1.0,0.9583333333333334,0.9787234042553191,0.998046875,2
2,7,KNN,Test (TCGA),0.9375,0.95,0.9047619047619048,0.926829268292683,0.992063492063492,2
2,7,KNN,CPTAC,,,,,,2
2,7,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,7,GradientBoosting,Test (TCGA),0.9375,0.95,0.9047619047619048,0.926829268292683,0.9911816578483246,2
2,7,GradientBoosting,CPTAC,,,,,,2
2,8,LogisticRegression,Train (TCGA),0.9642857142857143,0.9782608695652174,0.9375,0.9574468085106383,0.9951171875,2
2,8,LogisticRegression,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.961199294532628,2
2,8,LogisticRegression,CPTAC,,,,,,2
2,8,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,8,RandomForest,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9876543209876543,2
2,8,RandomForest,CPTAC,,,,,,2
2,8,SVM,Train (TCGA),0.9642857142857143,0.9782608695652174,0.9375,0.9574468085106383,0.9931640625,2
2,8,SVM,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9647266313932981,2
2,8,SVM,CPTAC,,,,,,2
2,8,KNN,Train (TCGA),0.9642857142857143,1.0,0.9166666666666666,0.9565217391304348,0.9954427083333334,2
2,8,KNN,Test (TCGA),0.9375,1.0,0.8571428571428571,0.9230769230769231,0.947089947089947,2
2,8,KNN,CPTAC,,,,,,2
2,8,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,8,GradientBoosting,Test (TCGA),0.9583333333333334,1.0,0.9047619047619048,0.95,0.9814814814814815,2
2,8,GradientBoosting,CPTAC,,,,,,2
2,9,LogisticRegression,Train (TCGA),0.9821428571428571,1.0,0.9583333333333334,0.9787234042553191,0.9944661458333333,2
2,9,LogisticRegression,Test (TCGA),0.9166666666666666,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9788359788359788,2
2,9,LogisticRegression,CPTAC,,,,,,2
2,9,RandomForest,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,9,RandomForest,Test (TCGA),0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9964726631393299,2
2,9,RandomForest,CPTAC,,,,,,2
2,9,SVM,Train (TCGA),0.9821428571428571,1.0,0.9583333333333334,0.9787234042553191,0.986328125,2
2,9,SVM,Test (TCGA),0.9375,0.95,0.9047619047619048,0.926829268292683,0.9929453262786596,2
2,9,SVM,CPTAC,,,,,,2
2,9,KNN,Train (TCGA),0.9821428571428571,1.0,0.9583333333333334,0.9787234042553191,0.9996744791666666,2
2,9,KNN,Test (TCGA),0.9375,0.95,0.9047619047619048,0.926829268292683,0.9700176366843033,2
2,9,KNN,CPTAC,,,,,,2
2,9,GradientBoosting,Train (TCGA),1.0,1.0,1.0,1.0,1.0,2
2,9,GradientBoosting,Test (TCGA),0.9583333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9788359788359788,2
