Method,k,Silhouette,CalinskiHarabasz,DaviesBouldin,Inertia
kmeans,2,0.10912030401194044,51.81226246137107,2.7707995288422955,1003.6596480950986
kmeans,3,0.1093984207305681,42.655613268342464,2.4751552500163063,935.799786443125
kmeans,4,0.07671898693703853,36.385914593409844,2.741614257088102,892.5257250452108
kmeans,5,0.07428531510508396,31.41768926670312,2.858541337679405,864.5694936901294
kmeans,6,0.05638762365320305,28.188745447385898,2.7755551487280883,840.0769027034569
kmeans,7,0.06385022479503734,25.459575526505137,2.7064105079629406,821.8623725081815
kmeans,8,0.050853085360249295,23.275467552876844,2.9472251630073676,806.6556802950756
kmeans,9,0.042439086187194386,21.366398178183847,2.9271418098817583,794.9064257113804
kmeans,10,0.04676655033841986,19.817268162821165,2.973329527515471,784.2161463573425
agglomerative,2,0.10559915045960108,35.97104262258899,3.032609951611763,
agglomerative,3,0.10419966579028007,34.486212843148905,2.660833646530009,
agglomerative,4,0.0348587180522611,29.869347071379284,2.881990930912527,
agglomerative,5,0.040616302666870184,27.226119989778827,2.9204414359953086,
agglomerative,6,0.0398561628516698,24.558468837548947,3.015238128852493,
agglomerative,7,0.033987792936710455,22.709461308347144,3.009962050972486,
agglomerative,8,0.037486434988633646,20.914953105221564,3.0240106202431196,
agglomerative,9,0.03768741364783605,19.503269873323077,2.936949159906134,
agglomerative,10,0.040898381559646355,18.406163917683944,2.840663908605157,
gmm,2,0.10511849182250378,51.702160924259616,2.779368039517461,
gmm,3,0.06396935127087743,38.64156203104156,3.041229328710427,
gmm,4,0.0653216426047149,36.07092087239123,2.779923166296686,
gmm,5,0.062442155535863866,31.24385110071993,2.8672671358275843,
gmm,6,0.061216360823912824,28.04229908441771,2.8102269337115326,
gmm,7,0.048449997850945566,25.11768203367384,2.9020390147609603,
gmm,8,0.04815560688761908,22.653043918323394,3.0223257064263698,
gmm,9,0.05202567789904031,21.130779024433608,2.9830258853049525,
gmm,10,0.04339298917727215,19.55327049689668,3.064558262847121,
